"","V1","V2","V3","V4","V5","V6","Parameter"
"18775",0.254,0.113,0.249,0.433,2190.593,1,"cov_4"
"18776",-0.174,-0.287,-0.17,-0.091,2094.831,1,"cov_5"
"18777",0.004,-0.133,0.003,0.145,592.929,1.007,"cov_6"
"18778",0.642,0.575,0.64,0.719,4443.462,1,"Sigma2_e"
"18779",0.111,0.1,0.111,0.123,7443.156,1,"Sigma2_ex"
"18780",148.345,115.975,148.953,177.53,754.827,1.001,"lp_"
"18781",1.027,0.848,1.028,1.195,805.164,1,"B_0"
"18782",-0.063,-0.313,-0.064,0.188,854.091,1,"B_x"
"18783",0.273,0.129,0.272,0.42,793.617,1,"psi"
"18784",0.204,0.119,0.196,0.325,1116.22,1.001,"Sigma2_intercept"
"18785",0.119,0.062,0.113,0.207,1977.261,1.001,"Sigma2_psi"
"18786",0.795,0.536,0.774,1.174,1459.395,1,"Sigma2_x"
"18787",0.01,0,0.007,0.034,1428.37,1,"Sigma2_epsilon"
"18788",0.071,0.024,0.067,0.151,1697.722,1,"Sigma2_phi"
"18789",-0.07,-0.137,-0.067,-0.016,1454.461,1,"cov_int_psi"
"18790",0.044,0.006,0.042,0.095,1449.489,1,"cov_int_phi"
"18791",-0.034,-0.075,-0.032,-0.006,1469.672,1.002,"cov_psi_phi"
"18792",-0.07,-0.137,-0.067,-0.016,1454.461,1,"cov_1"
"18793",-0.002,-0.027,-0.001,0.022,2079.331,1,"cov_2"
"18794",-0.007,-0.03,-0.005,0.008,1592.882,1,"cov_3"
"18795",0.167,0.062,0.161,0.306,1305.659,1,"cov_4"
"18796",-0.1,-0.208,-0.097,-0.01,1328.204,1.002,"cov_5"
"18797",0.001,-0.065,0,0.066,308.553,1,"cov_6"
"18798",0.559,0.501,0.557,0.621,4471.015,1,"Sigma2_e"
"18799",0.101,0.091,0.1,0.112,8313.1,1,"Sigma2_ex"
"18800",242.76,212.821,243.077,270.033,751.885,1,"lp_"
"18801",1.034,0.827,1.037,1.219,770.72,1,"B_0"
"18802",0.237,-0.084,0.236,0.558,519.374,1,"B_x"
"18803",0.349,0.216,0.349,0.489,461.381,1.004,"psi"
"18804",0.171,0.093,0.164,0.283,1145.088,1,"Sigma2_intercept"
"18805",0.113,0.066,0.11,0.18,2090.668,1,"Sigma2_psi"
"18806",1.26,0.85,1.224,1.848,1252.06,1,"Sigma2_x"
"18807",0.015,0,0.013,0.044,1276.616,1.001,"Sigma2_epsilon"
"18808",0.169,0.075,0.161,0.306,1245.042,1,"Sigma2_phi"
"18809",-0.07,-0.13,-0.067,-0.022,797.221,1,"cov_int_psi"
"18810",0.054,0.003,0.051,0.122,914.808,1,"cov_int_phi"
"18811",-0.065,-0.119,-0.063,-0.024,1292.994,1,"cov_psi_phi"
"18812",-0.07,-0.13,-0.067,-0.022,797.221,1,"cov_1"
"18813",-0.003,-0.03,-0.003,0.022,1186.2,1.003,"cov_2"
"18814",-0.009,-0.035,-0.008,0.009,1131.199,1,"cov_3"
"18815",0.162,0.033,0.158,0.32,903.861,1,"cov_4"
"18816",-0.16,-0.296,-0.154,-0.05,1200.399,1.001,"cov_5"
"18817",-0.003,-0.11,-0.001,0.095,206.137,1.011,"cov_6"
"18818",0.533,0.479,0.532,0.594,4138.519,1,"Sigma2_e"
"18819",0.103,0.093,0.102,0.114,7629.333,1,"Sigma2_ex"
"18820",254.025,223.601,254.141,282.796,876.802,1,"lp_"
"18821",1.034,0.829,1.04,1.213,671.93,1.006,"B_0"
"18822",0.015,-0.282,0.016,0.312,536.94,1.011,"B_x"
"18823",0.269,0.138,0.27,0.398,848.165,1,"psi"
"18824",0.207,0.12,0.2,0.337,1142.444,1.002,"Sigma2_intercept"
"18825",0.124,0.072,0.12,0.201,1784.029,1.001,"Sigma2_psi"
"18826",1.17,0.797,1.135,1.738,1073.603,1,"Sigma2_x"
"18827",0.009,0,0.007,0.035,1377.049,1,"Sigma2_epsilon"
"18828",0.099,0.034,0.092,0.2,1849.927,1,"Sigma2_phi"
"18829",-0.074,-0.143,-0.072,-0.019,922.752,1.007,"cov_int_psi"
"18830",0.063,0.014,0.06,0.131,1044.236,1.001,"cov_int_phi"
"18831",-0.054,-0.103,-0.052,-0.02,1564.998,1.001,"cov_psi_phi"
"18832",-0.074,-0.143,-0.072,-0.019,922.752,1.007,"cov_1"
"18833",-0.004,-0.031,-0.002,0.018,2715.708,1.002,"cov_2"
"18834",-0.007,-0.034,-0.005,0.009,2150.134,1,"cov_3"
"18835",0.248,0.11,0.24,0.427,805.118,1,"cov_4"
"18836",-0.177,-0.314,-0.172,-0.072,1278.736,1,"cov_5"
"18837",0.004,-0.068,0.001,0.085,325.092,1,"cov_6"
"18838",0.605,0.542,0.603,0.677,5744.222,1,"Sigma2_e"
"18839",0.097,0.088,0.097,0.108,8097.729,1,"Sigma2_ex"
"18840",223.603,194.704,223.792,250.403,959.694,1,"lp_"
