"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.002,0.955,1.002,1.048,3607.299,1,"B_0"
0.264,0.229,0.264,0.297,3825.149,1,"psi"
0.257,0.215,0.256,0.302,1560.486,1,"Sigma2_intercept"
0.007,0,0.005,0.027,538.886,1.002,"Sigma2_epsilon"
0.083,0.063,0.082,0.109,1198.182,1,"Sigma2_phi"
1.018,1.018,1.018,1.018,0.5,1,"Sigma2_x"
0.065,0.046,0.064,0.087,1723.524,1,"cov_int_phi"
0.012,-0.006,0.011,0.035,1670.225,1,"cov_2"
0.672,0.634,0.672,0.714,2119.875,1,"Sigma2_e"
-1767.133,-1846.675,-1767.693,-1687.012,665.291,1,"lp__"
0.983,0.942,0.983,1.026,2905.562,1,"B_0"
0.268,0.237,0.268,0.3,3005.527,1,"psi"
0.185,0.148,0.184,0.225,1265.17,1.001,"Sigma2_intercept"
0.009,0,0.007,0.03,363.893,1.002,"Sigma2_epsilon"
0.088,0.066,0.086,0.117,616.696,1.002,"Sigma2_phi"
1.13,1.13,1.13,1.13,0.5,1,"Sigma2_x"
0.028,0.008,0.029,0.046,1917.804,1,"cov_int_phi"
-0.007,-0.028,-0.006,0.01,1636.519,1,"cov_2"
0.737,0.695,0.736,0.782,1269.513,1,"Sigma2_e"
-1913.47,-1992.366,-1914.307,-1834.612,536.376,1,"lp__"
1.049,1.005,1.049,1.091,5026.832,1,"B_0"
0.255,0.221,0.255,0.287,4451.14,1,"psi"
0.177,0.142,0.176,0.214,1653.113,1,"Sigma2_intercept"
0.023,0,0.023,0.051,243.728,1.006,"Sigma2_epsilon"
0.091,0.062,0.09,0.122,312.91,1.005,"Sigma2_phi"
0.967,0.967,0.967,0.967,0.5,1,"Sigma2_x"
0.037,0.018,0.037,0.056,1980.101,1,"cov_int_phi"
0.011,-0.008,0.011,0.032,1820.883,1,"cov_2"
0.702,0.657,0.702,0.751,682.904,1.001,"Sigma2_e"
-1836.309,-1927.506,-1835.938,-1745.283,319.181,1.002,"lp__"
0.982,0.935,0.983,1.028,643.55,1.003,"B_0"
0.264,0.229,0.264,0.297,1664.626,1,"psi"
0.201,0.163,0.2,0.241,456.084,1,"Sigma2_intercept"
0.008,0,0.005,0.033,89.158,1.001,"Sigma2_epsilon"
0.074,0.054,0.072,0.108,135.735,1.001,"Sigma2_phi"
0.915,0.915,0.915,0.915,0.5,1,"Sigma2_x"
0.038,0.022,0.038,0.057,1193.427,1,"cov_int_phi"
0.006,-0.009,0.005,0.025,843.363,1,"cov_2"
0.714,0.668,0.714,0.757,507.724,1.001,"Sigma2_e"
-1862.465,-1941.477,-1863.688,-1782.43,314.231,1,"lp__"
0.996,0.953,0.997,1.039,1811.617,1,"B_0"
0.278,0.248,0.279,0.309,3029.256,1,"psi"
0.209,0.173,0.208,0.251,1267.238,1.003,"Sigma2_intercept"
0.008,0,0.005,0.029,307.156,1,"Sigma2_epsilon"
0.092,0.071,0.091,0.118,559.437,1,"Sigma2_phi"
1.057,1.057,1.057,1.057,0.5,1,"Sigma2_x"
0.049,0.033,0.049,0.069,1590.569,1,"cov_int_phi"
0.005,-0.01,0.004,0.024,1531.277,1,"cov_2"
0.663,0.624,0.663,0.704,1172.688,1,"Sigma2_e"
-1745.671,-1826.597,-1745.616,-1664.999,498.378,1.001,"lp__"
0.974,0.929,0.974,1.017,4195.47,1,"B_0"
0.25,0.219,0.25,0.283,6344.681,1,"psi"
0.207,0.17,0.206,0.249,1566.493,1.001,"Sigma2_intercept"
0.004,0,0.002,0.017,745.434,1,"Sigma2_epsilon"
0.068,0.051,0.067,0.089,1971.664,1,"Sigma2_phi"
1.018,1.018,1.018,1.018,0.5,1,"Sigma2_x"
0.033,0.017,0.033,0.049,3785.562,1.001,"cov_int_phi"
0,-0.016,0,0.015,3789.361,1.001,"cov_2"
0.733,0.69,0.733,0.778,2535.35,1.001,"Sigma2_e"
-1906.642,-1982.299,-1906.112,-1829.091,804.892,1,"lp__"
0.988,0.944,0.988,1.033,2681.895,1,"B_0"
0.26,0.227,0.26,0.292,5822.139,1,"psi"
0.201,0.166,0.2,0.241,1764.333,1,"Sigma2_intercept"
0.005,0,0.002,0.023,410.697,1.016,"Sigma2_epsilon"
0.072,0.055,0.072,0.095,918.698,1.007,"Sigma2_phi"
0.981,0.981,0.981,0.981,0.5,1,"Sigma2_x"
0.037,0.021,0.036,0.054,3435.799,1,"cov_int_phi"
0.002,-0.013,0.001,0.019,3496.763,1,"cov_2"
0.67,0.632,0.669,0.71,2393.391,1,"Sigma2_e"
-1761.24,-1832.918,-1761.288,-1685.489,753.474,1.006,"lp__"
0.972,0.927,0.973,1.017,2541.074,1,"B_0"
0.274,0.241,0.274,0.308,4557.243,1,"psi"
0.223,0.186,0.222,0.264,1574.015,1.001,"Sigma2_intercept"
0.014,0,0.012,0.039,342.079,1,"Sigma2_epsilon"
0.095,0.071,0.094,0.126,601.212,1.001,"Sigma2_phi"
1.031,1.031,1.031,1.031,0.5,1,"Sigma2_x"
0.049,0.03,0.048,0.069,1881.341,1,"cov_int_phi"
0.009,-0.009,0.008,0.03,1569.921,1,"cov_2"
0.662,0.62,0.662,0.705,1126.885,1,"Sigma2_e"
-1742.531,-1823.85,-1743.307,-1657.277,477.728,1.002,"lp__"
1.003,0.961,1.003,1.045,1586.247,1.001,"B_0"
