"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
-0.078,-0.112,-0.078,-0.051,1140.887,1,"cov_int_psi"
0.082,0.052,0.08,0.121,1175.811,1,"cov_int_phi"
-0.075,-0.103,-0.074,-0.052,1678.556,1,"cov_psi_phi"
-0.632,-0.772,-0.638,-0.467,1131.928,1,"cor_1"
0.215,-0.495,0.257,0.785,157.381,1.005,"cor_2"
-0.439,-0.943,-0.515,0.41,167.943,1.004,"cor_3"
0.587,0.461,0.589,0.695,1615.784,1,"cor_4"
-0.665,-0.768,-0.669,-0.535,1709.29,1,"cor_5"
0.013,-0.87,0.012,0.901,63.956,1.014,"cor_6"
-0.078,-0.112,-0.078,-0.051,1140.887,1,"cov_1"
0.008,-0.026,0.006,0.048,84.174,1.013,"cov_2"
-0.012,-0.047,-0.01,0.016,83.887,1.013,"cov_3"
0.255,0.178,0.252,0.347,1339.665,1,"cov_4"
-0.216,-0.288,-0.215,-0.155,1995.965,1,"cov_5"
0.003,-0.142,0.001,0.168,64.502,1.016,"cov_6"
0.639,0.605,0.639,0.673,6814.188,1,"Sigma2_e"
0.1,0.094,0.099,0.105,6973.576,1,"Sigma2_ex"
800.879,749.362,800.85,851.368,934.81,1,"lp__"
0.974,0.872,0.975,1.074,876.062,1,"B_0"
